,ResponseId,DatabaseHaveWorkedWith
1,2,Dynamodb
1,2,MongoDB
1,2,PostgreSQL
3,4,MongoDB
3,4,MySQL
3,4,PostgreSQL
3,4,SQLite
4,5,PostgreSQL
4,5,SQLite
9,10,MongoDB
9,10,MySQL
9,10,PostgreSQL
9,10,Redis
10,11,Elasticsearch
10,11,MongoDB
10,11,PostgreSQL
10,11,SQLite
11,12,Microsoft SQL Server
11,12,PostgreSQL
11,12,SQLite
12,13,MySQL
13,14,MariaDB
13,14,MySQL
14,15,Oracle
15,16,Microsoft SQL Server
18,19,Microsoft SQL Server
18,19,MySQL
18,19,SQLite
19,20,Microsoft SQL Server
20,21,MySQL
21,22,MariaDB
21,22,Microsoft SQL Server
21,22,MySQL
22,23,Redis
22,23,SQLite
23,24,MySQL
23,24,PostgreSQL
23,24,SQLite
24,25,MariaDB
24,25,MySQL
24,25,Oracle
24,25,PostgreSQL
25,26,MySQL
25,26,SQLite
26,27,Microsoft SQL Server
26,27,PostgreSQL
27,28,Dynamodb
27,28,PostgreSQL
28,29,MariaDB
28,29,Microsoft SQL Server
28,29,MySQL
29,30,Microsoft SQL Server
29,30,MongoDB
29,30,SQLite
31,32,PostgreSQL
32,33,Elasticsearch
32,33,MySQL
32,33,Redis
33,34,Elasticsearch
35,36,Microsoft SQL Server
36,37,MySQL
37,38,Dynamodb
37,38,Elasticsearch
37,38,MongoDB
37,38,MySQL
37,38,PostgreSQL
37,38,SQLite
38,39,MongoDB
38,39,PostgreSQL
39,40,MySQL
39,40,PostgreSQL
39,40,SQLite
40,41,PostgreSQL
40,41,Redis
40,41,SQLite
42,43,MongoDB
42,43,PostgreSQL
43,44,Microsoft SQL Server
44,45,Elasticsearch
44,45,Microsoft SQL Server
44,45,MongoDB
44,45,Redis
45,46,Microsoft SQL Server
45,46,MongoDB
45,46,MySQL
45,46,PostgreSQL
45,46,SQLite
48,49,Microsoft SQL Server
48,49,SQLite
49,50,MariaDB
49,50,Microsoft SQL Server
49,50,MySQL
50,51,MySQL
50,51,PostgreSQL
50,51,SQLite
51,52,Microsoft SQL Server
51,52,MongoDB
51,52,MySQL
51,52,PostgreSQL
51,52,SQLite
52,53,MySQL
52,53,Oracle
52,53,PostgreSQL
53,54,Microsoft SQL Server
53,54,Redis
54,55,MariaDB
54,55,MySQL
54,55,Redis
54,55,SQLite
55,56,SQLite
56,57,MongoDB
56,57,MySQL
56,57,PostgreSQL
57,58,PostgreSQL
57,58,SQLite
58,59,SQLite
59,60,Elasticsearch
59,60,Oracle
60,61,MySQL
60,61,PostgreSQL
60,61,SQLite
61,62,Microsoft SQL Server
64,65,PostgreSQL
65,66,MariaDB
66,67,MongoDB
66,67,MySQL
66,67,PostgreSQL
67,68,Microsoft SQL Server
68,69,Dynamodb
68,69,Elasticsearch
68,69,MariaDB
68,69,MongoDB
68,69,MySQL
68,69,PostgreSQL
68,69,SQLite
69,70,Microsoft SQL Server
71,72,Elasticsearch
71,72,Microsoft SQL Server
71,72,Redis
72,73,MongoDB
72,73,MySQL
72,73,SQLite
74,75,MariaDB
74,75,PostgreSQL
74,75,SQLite
75,76,MongoDB
77,78,MariaDB
77,78,Microsoft SQL Server
77,78,MySQL
77,78,PostgreSQL
77,78,SQLite
78,79,Elasticsearch
78,79,PostgreSQL
80,81,Microsoft SQL Server
81,82,Dynamodb
81,82,PostgreSQL
81,82,SQLite
82,83,PostgreSQL
82,83,SQLite
84,85,MySQL
84,85,SQLite
85,86,Microsoft SQL Server
86,87,Microsoft SQL Server
86,87,PostgreSQL
86,87,Redis
87,88,PostgreSQL
87,88,SQLite
88,89,MariaDB
88,89,Microsoft SQL Server
88,89,MySQL
89,90,Elasticsearch
89,90,MySQL
89,90,Oracle
91,92,MySQL
91,92,PostgreSQL
91,92,SQLite
92,93,Dynamodb
92,93,Elasticsearch
92,93,MariaDB
92,93,MySQL
92,93,PostgreSQL
93,94,MySQL
94,95,Microsoft SQL Server
94,95,MySQL
94,95,PostgreSQL
94,95,SQLite
95,96,MySQL
95,96,SQLite
97,98,Microsoft SQL Server
97,98,MySQL
98,99,MySQL
99,100,MySQL
100,101,PostgreSQL
101,102,Microsoft SQL Server
101,102,MySQL
101,102,SQLite
102,103,Dynamodb
102,103,MariaDB
102,103,MySQL
102,103,PostgreSQL
102,103,Redis
103,104,Microsoft SQL Server
104,105,Elasticsearch
104,105,Microsoft SQL Server
104,105,MySQL
104,105,Oracle
104,105,PostgreSQL
105,106,PostgreSQL
107,108,Microsoft SQL Server
107,108,SQLite
108,109,Microsoft SQL Server
109,110,Dynamodb
110,111,Microsoft SQL Server
110,111,SQLite
111,112,PostgreSQL
112,113,MongoDB
112,113,MySQL
112,113,SQLite
113,114,Dynamodb
113,114,Elasticsearch
113,114,MariaDB
113,114,Microsoft SQL Server
113,114,MongoDB
113,114,MySQL
113,114,Oracle
113,114,PostgreSQL
113,114,SQLite
116,117,Elasticsearch
116,117,MySQL
116,117,Redis
116,117,SQLite
117,118,Elasticsearch
117,118,MariaDB
118,119,Elasticsearch
118,119,Microsoft SQL Server
118,119,PostgreSQL
119,120,Dynamodb
119,120,Elasticsearch
119,120,MariaDB
119,120,Microsoft SQL Server
119,120,MySQL
119,120,SQLite
121,122,Microsoft SQL Server
122,123,MongoDB
123,124,Dynamodb
123,124,MariaDB
124,125,Dynamodb
124,125,Elasticsearch
124,125,MySQL
124,125,Redis
126,127,Elasticsearch
126,127,PostgreSQL
127,128,Oracle
127,128,SQLite
128,129,Microsoft SQL Server
128,129,SQLite
129,130,Elasticsearch
129,130,Microsoft SQL Server
131,132,PostgreSQL
132,133,MySQL
133,134,Elasticsearch
133,134,MariaDB
133,134,Microsoft SQL Server
133,134,MySQL
133,134,PostgreSQL
133,134,Redis
133,134,SQLite
134,135,MySQL
135,136,MariaDB
135,136,MongoDB
135,136,MySQL
135,136,Oracle
135,136,SQLite
136,137,MariaDB
136,137,MySQL
137,138,MongoDB
137,138,PostgreSQL
137,138,Redis
138,139,PostgreSQL
