,ResponseId,DatabaseWantToWorkWith
1,2,PostgreSQL
3,4,MongoDB
3,4,MySQL
3,4,PostgreSQL
4,5,PostgreSQL
4,5,SQLite
7,8,Supabase
9,10,MongoDB
9,10,MySQL
9,10,PostgreSQL
9,10,Redis
10,11,Elasticsearch
10,11,MongoDB
10,11,PostgreSQL
10,11,SQLite
11,12,Microsoft SQL Server
11,12,PostgreSQL
11,12,SQLite
12,13,MySQL
15,16,Microsoft SQL Server
18,19,Microsoft SQL Server
18,19,SQLite
19,20,Microsoft SQL Server
20,21,Microsoft SQL Server
20,21,MySQL
20,21,PostgreSQL
21,22,MariaDB
21,22,Microsoft SQL Server
21,22,MySQL
22,23,Redis
22,23,SQLite
23,24,MySQL
23,24,PostgreSQL
23,24,SQLite
24,25,PostgreSQL
25,26,MongoDB
26,27,PostgreSQL
27,28,Dynamodb
28,29,MariaDB
28,29,Microsoft SQL Server
28,29,MySQL
29,30,Dynamodb
29,30,Elasticsearch
29,30,MariaDB
29,30,Microsoft SQL Server
29,30,MongoDB
29,30,PostgreSQL
29,30,SQLite
31,32,PostgreSQL
32,33,Elasticsearch
32,33,MongoDB
32,33,MySQL
32,33,Redis
33,34,Elasticsearch
33,34,Redis
35,36,Microsoft SQL Server
36,37,MySQL
38,39,MongoDB
38,39,PostgreSQL
39,40,MongoDB
39,40,MySQL
39,40,PostgreSQL
40,41,PostgreSQL
40,41,Redis
40,41,SQLite
42,43,Supabase
43,44,Microsoft SQL Server
44,45,Elasticsearch
44,45,Microsoft SQL Server
44,45,MongoDB
44,45,MySQL
44,45,PostgreSQL
44,45,Redis
45,46,PostgreSQL
45,46,Redis
45,46,SQLite
48,49,Microsoft SQL Server
48,49,SQLite
49,50,PostgreSQL
49,50,Redis
50,51,MongoDB
50,51,MySQL
50,51,PostgreSQL
50,51,SQLite
51,52,Microsoft SQL Server
51,52,MongoDB
51,52,PostgreSQL
51,52,Redis
51,52,SQLite
51,52,Supabase
52,53,MySQL
52,53,PostgreSQL
52,53,Redis
52,53,Supabase
53,54,Microsoft SQL Server
53,54,Redis
54,55,MariaDB
54,55,SQLite
55,56,SQLite
56,57,MySQL
57,58,Elasticsearch
57,58,MongoDB
57,58,PostgreSQL
60,61,MySQL
60,61,PostgreSQL
60,61,SQLite
61,62,Microsoft SQL Server
64,65,PostgreSQL
65,66,MariaDB
68,69,Dynamodb
68,69,Elasticsearch
68,69,MariaDB
68,69,MongoDB
68,69,MySQL
68,69,PostgreSQL
68,69,SQLite
69,70,Microsoft SQL Server
71,72,Microsoft SQL Server
71,72,Redis
72,73,Elasticsearch
72,73,PostgreSQL
74,75,PostgreSQL
74,75,SQLite
77,78,MariaDB
77,78,MySQL
77,78,PostgreSQL
78,79,Dynamodb
78,79,PostgreSQL
78,79,Redis
80,81,Microsoft SQL Server
81,82,PostgreSQL
82,83,PostgreSQL
82,83,SQLite
84,85,MongoDB
84,85,PostgreSQL
84,85,Redis
85,86,Microsoft SQL Server
85,86,SQLite
86,87,Microsoft SQL Server
86,87,Redis
87,88,PostgreSQL
87,88,SQLite
88,89,Microsoft SQL Server
89,90,Elasticsearch
89,90,MySQL
91,92,MySQL
91,92,PostgreSQL
91,92,SQLite
93,94,PostgreSQL
94,95,PostgreSQL
94,95,SQLite
95,96,MySQL
95,96,SQLite
98,99,MySQL
99,100,MongoDB
99,100,MySQL
100,101,Dynamodb
100,101,PostgreSQL
101,102,Microsoft SQL Server
101,102,MongoDB
103,104,Microsoft SQL Server
105,106,PostgreSQL
105,106,SQLite
107,108,Microsoft SQL Server
108,109,Microsoft SQL Server
108,109,Redis
110,111,MariaDB
110,111,Microsoft SQL Server
110,111,MongoDB
110,111,MySQL
110,111,SQLite
112,113,MongoDB
112,113,MySQL
112,113,SQLite
113,114,Microsoft SQL Server
113,114,MongoDB
113,114,MySQL
113,114,PostgreSQL
113,114,SQLite
114,115,Supabase
118,119,Elasticsearch
118,119,Microsoft SQL Server
118,119,PostgreSQL
118,119,Redis
121,122,Microsoft SQL Server
121,122,Redis
122,123,MongoDB
124,125,Dynamodb
124,125,Redis
126,127,Dynamodb
126,127,PostgreSQL
127,128,SQLite
128,129,Microsoft SQL Server
129,130,Elasticsearch
129,130,Microsoft SQL Server
129,130,MongoDB
129,130,Redis
131,132,PostgreSQL
132,133,MySQL
133,134,MariaDB
133,134,Microsoft SQL Server
133,134,MySQL
133,134,Redis
133,134,SQLite
134,135,MySQL
135,136,MariaDB
135,136,MongoDB
135,136,MySQL
135,136,SQLite
136,137,MariaDB
136,137,MySQL
137,138,PostgreSQL
137,138,Redis
138,139,PostgreSQL
139,140,MariaDB
139,140,MongoDB
139,140,MySQL
139,140,PostgreSQL
140,141,Dynamodb
140,141,Elasticsearch
140,141,Microsoft SQL Server
140,141,MongoDB
140,141,MySQL
141,142,MariaDB
141,142,MySQL
142,143,Microsoft SQL Server
144,145,Microsoft SQL Server
144,145,PostgreSQL
144,145,Redis
145,146,MySQL
147,148,PostgreSQL
147,148,SQLite
148,149,Elasticsearch
148,149,Microsoft SQL Server
148,149,PostgreSQL
148,149,Redis
149,150,PostgreSQL
149,150,Supabase
150,151,MariaDB
150,151,MongoDB
150,151,MySQL
150,151,PostgreSQL
152,153,Microsoft SQL Server
155,156,MongoDB
155,156,MySQL
155,156,PostgreSQL
156,157,MariaDB
156,157,MySQL
156,157,SQLite
157,158,Elasticsearch
157,158,Microsoft SQL Server
157,158,PostgreSQL
158,159,Elasticsearch
158,159,MongoDB
158,159,MySQL
158,159,PostgreSQL
158,159,Redis
162,163,MongoDB
162,163,PostgreSQL
162,163,Redis
163,164,PostgreSQL
165,166,Microsoft SQL Server
166,167,Microsoft SQL Server
167,168,PostgreSQL
167,168,SQLite
170,171,PostgreSQL
170,171,SQLite
171,172,Microsoft SQL Server
171,172,MySQL
171,172,PostgreSQL
171,172,Redis
171,172,SQLite
172,173,Elasticsearch
172,173,MariaDB
172,173,MongoDB
172,173,MySQL
172,173,PostgreSQL
172,173,Redis
172,173,SQLite
174,175,PostgreSQL
174,175,Redis
174,175,Supabase
175,176,Microsoft SQL Server
176,177,Microsoft SQL Server
177,178,MySQL
179,180,PostgreSQL
180,181,PostgreSQL
180,181,Redis
181,182,Microsoft SQL Server
181,182,PostgreSQL
182,183,Microsoft SQL Server
182,183,PostgreSQL
182,183,Redis
184,185,PostgreSQL
184,185,SQLite
185,186,MySQL
185,186,PostgreSQL
187,188,SQLite
188,189,Dynamodb
188,189,MongoDB
188,189,PostgreSQL
189,190,Elasticsearch
189,190,Microsoft SQL Server
189,190,Redis
190,191,Microsoft SQL Server
190,191,Redis
191,192,Dynamodb
191,192,Redis
191,192,SQLite
192,193,Redis
193,194,SQLite
195,196,Dynamodb
195,196,MariaDB
195,196,Microsoft SQL Server
195,196,MySQL
195,196,PostgreSQL
195,196,Redis
195,196,SQLite
196,197,MariaDB
196,197,Redis
198,199,MariaDB
198,199,PostgreSQL
199,200,Elasticsearch
199,200,MySQL
200,201,PostgreSQL
200,201,SQLite
200,201,Supabase
204,205,MongoDB
204,205,PostgreSQL
205,206,Microsoft SQL Server
206,207,MariaDB
207,208,SQLite
208,209,PostgreSQL
208,209,SQLite
209,210,Microsoft SQL Server
209,210,PostgreSQL
210,211,Elasticsearch
210,211,MongoDB
210,211,PostgreSQL
211,212,Dynamodb
211,212,MySQL
211,212,Redis
212,213,Microsoft SQL Server
213,214,SQLite
214,215,PostgreSQL
215,216,Microsoft SQL Server
217,218,Elasticsearch
217,218,Microsoft SQL Server
217,218,MongoDB
217,218,PostgreSQL
217,218,Redis
