,ResponseId,LanguageWantToWorkWith
1,2,Bash/Shell (all shells)
1,2,Go
1,2,HTML/CSS
1,2,JavaScript
1,2,Python
1,2,TypeScript
2,3,C#
3,4,HTML/CSS
3,4,JavaScript
3,4,Python
3,4,SQL
3,4,TypeScript
4,5,C++
4,5,HTML/CSS
4,5,JavaScript
4,5,Python
5,6,Bash/Shell (all shells)
5,6,HTML/CSS
5,6,JavaScript
5,6,Python
5,6,TypeScript
7,8,HTML/CSS
7,8,JavaScript
7,8,TypeScript
9,10,HTML/CSS
9,10,JavaScript
9,10,TypeScript
10,11,C#
10,11,JavaScript
10,11,Python
11,12,C#
11,12,HTML/CSS
11,12,JavaScript
11,12,Rust
11,12,SQL
11,12,TypeScript
12,13,Bash/Shell (all shells)
12,13,JavaScript
13,14,Python
14,15,C++
15,16,C#
15,16,SQL
16,17,Rust
16,17,TypeScript
17,18,HTML/CSS
17,18,JavaScript
17,18,TypeScript
18,19,C#
18,19,HTML/CSS
18,19,JavaScript
18,19,SQL
19,20,Python
19,20,SQL
20,21,C++
20,21,JavaScript
20,21,Python
20,21,SQL
21,22,C#
21,22,HTML/CSS
21,22,SQL
22,23,Bash/Shell (all shells)
22,23,C#
22,23,Go
23,24,HTML/CSS
23,24,JavaScript
23,24,Python
23,24,Rust
23,24,SQL
24,25,SQL
25,26,TypeScript
26,27,C#
26,27,JavaScript
26,27,Python
26,27,SQL
27,28,Bash/Shell (all shells)
27,28,Rust
27,28,TypeScript
28,29,Bash/Shell (all shells)
28,29,C#
28,29,HTML/CSS
28,29,JavaScript
28,29,Python
28,29,SQL
29,30,C#
29,30,HTML/CSS
29,30,JavaScript
29,30,SQL
29,30,TypeScript
30,31,Go
30,31,HTML/CSS
30,31,JavaScript
30,31,Python
30,31,TypeScript
31,32,Bash/Shell (all shells)
31,32,Go
31,32,Python
31,32,SQL
32,33,Bash/Shell (all shells)
32,33,C#
32,33,JavaScript
32,33,Python
32,33,SQL
32,33,TypeScript
33,34,Bash/Shell (all shells)
33,34,Go
33,34,Python
33,34,TypeScript
34,35,C++
34,35,Go
34,35,HTML/CSS
34,35,Python
34,35,Rust
34,35,SQL
34,35,TypeScript
35,36,Bash/Shell (all shells)
35,36,C#
35,36,HTML/CSS
35,36,Python
35,36,SQL
36,37,Bash/Shell (all shells)
36,37,SQL
37,38,Python
38,39,HTML/CSS
38,39,JavaScript
38,39,Python
38,39,SQL
38,39,TypeScript
39,40,Bash/Shell (all shells)
39,40,C++
39,40,Go
39,40,Python
39,40,Rust
39,40,SQL
39,40,TypeScript
40,41,Go
40,41,HTML/CSS
40,41,Rust
40,41,SQL
41,42,Go
42,43,Go
43,44,C#
43,44,C++
43,44,HTML/CSS
43,44,JavaScript
43,44,Python
43,44,SQL
44,45,C#
44,45,HTML/CSS
44,45,JavaScript
44,45,SQL
44,45,TypeScript
45,46,Go
45,46,Python
45,46,Rust
45,46,SQL
46,47,C++
48,49,SQL
49,50,JavaScript
49,50,Python
