,ResponseId,PlatformWantToWorkWith
1,2,Amazon Web Services (AWS)
1,2,Netlify
2,3,Google Cloud
3,4,Amazon Web Services (AWS)
3,4,Vercel
5,6,Cloudflare
7,8,Vercel
9,10,Amazon Web Services (AWS)
9,10,Digital Ocean
9,10,Firebase
9,10,Vercel
10,11,Google Cloud
11,12,Cloudflare
12,13,Hetzner
18,19,Microsoft Azure
19,20,Microsoft Azure
22,23,Amazon Web Services (AWS)
22,23,Cloudflare
22,23,Microsoft Azure
23,24,Amazon Web Services (AWS)
26,27,Amazon Web Services (AWS)
27,28,Amazon Web Services (AWS)
28,29,Amazon Web Services (AWS)
28,29,Hetzner
28,29,Microsoft Azure
29,30,Amazon Web Services (AWS)
29,30,Firebase
29,30,Microsoft Azure
30,31,Amazon Web Services (AWS)
30,31,Firebase
30,31,Google Cloud
31,32,Amazon Web Services (AWS)
32,33,Amazon Web Services (AWS)
34,35,Microsoft Azure
35,36,Microsoft Azure
36,37,Google Cloud
38,39,Amazon Web Services (AWS)
39,40,Amazon Web Services (AWS)
41,42,Amazon Web Services (AWS)
42,43,Cloudflare
42,43,Supabase
43,44,Microsoft Azure
44,45,Firebase
44,45,Microsoft Azure
45,46,Firebase
45,46,Google Cloud
48,49,Microsoft Azure
49,50,Amazon Web Services (AWS)
49,50,Google Cloud
49,50,Microsoft Azure
51,52,Amazon Web Services (AWS)
51,52,Cloudflare
51,52,Digital Ocean
51,52,Firebase
51,52,Google Cloud
51,52,Microsoft Azure
51,52,Supabase
51,52,Vercel
52,53,Amazon Web Services (AWS)
52,53,Cloudflare
52,53,Supabase
54,55,Cloudflare
56,57,Cloudflare
59,60,Amazon Web Services (AWS)
60,61,Cloudflare
60,61,Firebase
61,62,Microsoft Azure
63,64,Amazon Web Services (AWS)
63,64,Microsoft Azure
64,65,Google Cloud
67,68,Microsoft Azure
68,69,Amazon Web Services (AWS)
68,69,Google Cloud
68,69,Microsoft Azure
71,72,Microsoft Azure
72,73,Amazon Web Services (AWS)
72,73,Google Cloud
74,75,Cloudflare
74,75,Digital Ocean
75,76,Digital Ocean
76,77,Amazon Web Services (AWS)
77,78,Digital Ocean
77,78,Vercel
78,79,Amazon Web Services (AWS)
78,79,Cloudflare
79,80,Microsoft Azure
86,87,Microsoft Azure
92,93,Amazon Web Services (AWS)
92,93,Microsoft Azure
98,99,Microsoft Azure
99,100,Netlify
100,101,Amazon Web Services (AWS)
100,101,Cloudflare
100,101,Google Cloud
110,111,Amazon Web Services (AWS)
110,111,Google Cloud
110,111,Microsoft Azure
112,113,Amazon Web Services (AWS)
112,113,Netlify
113,114,Amazon Web Services (AWS)
113,114,Google Cloud
113,114,Microsoft Azure
117,118,Hetzner
117,118,Vercel
118,119,Amazon Web Services (AWS)
118,119,Google Cloud
120,121,Cloudflare
120,121,Google Cloud
121,122,Amazon Web Services (AWS)
121,122,Google Cloud
121,122,Microsoft Azure
124,125,Digital Ocean
124,125,Firebase
124,125,Netlify
126,127,Amazon Web Services (AWS)
126,127,Google Cloud
126,127,Microsoft Azure
127,128,Amazon Web Services (AWS)
127,128,Google Cloud
128,129,Firebase
128,129,Microsoft Azure
129,130,Microsoft Azure
131,132,Digital Ocean
131,132,Vercel
133,134,Cloudflare
133,134,Hetzner
133,134,Microsoft Azure
134,135,Amazon Web Services (AWS)
134,135,Microsoft Azure
135,136,Digital Ocean
136,137,Cloudflare
136,137,Google Cloud
137,138,Amazon Web Services (AWS)
137,138,Vercel
138,139,Hetzner
139,140,Google Cloud
140,141,Amazon Web Services (AWS)
140,141,Digital Ocean
140,141,Google Cloud
140,141,Microsoft Azure
141,142,Cloudflare
142,143,Microsoft Azure
143,144,Cloudflare
145,146,Amazon Web Services (AWS)
145,146,Firebase
145,146,Supabase
149,150,Supabase
150,151,Amazon Web Services (AWS)
150,151,Microsoft Azure
155,156,Amazon Web Services (AWS)
155,156,Google Cloud
157,158,Microsoft Azure
157,158,Supabase
158,159,Amazon Web Services (AWS)
158,159,Microsoft Azure
159,160,Microsoft Azure
162,163,Amazon Web Services (AWS)
162,163,Cloudflare
164,165,Google Cloud
165,166,Microsoft Azure
166,167,Microsoft Azure
168,169,Netlify
171,172,Amazon Web Services (AWS)
171,172,Cloudflare
171,172,Digital Ocean
171,172,Google Cloud
