,ResponseId,WebframeWantToWorkWith
1,2,Express
1,2,Node.js
1,2,React
2,3,ASP.NET CORE
3,4,Next.js
3,4,Node.js
3,4,React
5,6,Node.js
7,8,Next.js
7,8,React
9,10,Express
9,10,Next.js
9,10,Node.js
9,10,React
10,11,Django
10,11,Node.js
10,11,React
11,12,ASP.NET CORE
11,12,Express
11,12,Node.js
11,12,React
17,18,Next.js
17,18,React
18,19,ASP.NET CORE
20,21,Angular
20,21,React
21,22,ASP.NET CORE
22,23,ASP.NET CORE
23,24,Django
25,26,Angular
25,26,Node.js
25,26,React
26,27,Node.js
27,28,Next.js
28,29,Angular
28,29,ASP.NET CORE
28,29,Next.js
28,29,React
29,30,ASP.NET CORE
29,30,Express
29,30,Next.js
29,30,Node.js
29,30,React
29,30,Vue.js
30,31,Angular
30,31,Django
30,31,Next.js
30,31,Node.js
32,33,Node.js
34,35,Django
34,35,Next.js
34,35,Node.js
34,35,React
35,36,ASP.NET CORE
36,37,Spring Boot
38,39,Vue.js
39,40,Django
39,40,React
39,40,Vue.js
40,41,Vue.js
43,44,ASP.NET CORE
44,45,Angular
44,45,ASP.NET CORE
49,50,Angular
49,50,React
49,50,Spring Boot
50,51,Django
50,51,Svelte
51,52,ASP.NET CORE
51,52,Node.js
51,52,Svelte
52,53,Angular
52,53,Node.js
52,53,Spring Boot
53,54,Angular
53,54,ASP.NET CORE
54,55,Express
54,55,Node.js
56,57,ASP.NET CORE
56,57,Express
58,59,Django
61,62,Angular
61,62,ASP.NET CORE
64,65,Spring Boot
67,68,Angular
67,68,ASP.NET CORE
67,68,React
68,69,Express
68,69,Node.js
68,69,React
68,69,Spring Boot
69,70,ASP.NET CORE
71,72,ASP.NET CORE
72,73,Django
74,75,Svelte
74,75,Vue.js
77,78,Express
77,78,Node.js
77,78,React
78,79,Django
78,79,Spring Boot
78,79,Svelte
78,79,Vue.js
80,81,ASP.NET CORE
81,82,Next.js
81,82,Node.js
81,82,React
81,82,Svelte
82,83,Django
84,85,Node.js
84,85,React
86,87,ASP.NET CORE
86,87,Express
86,87,Node.js
86,87,Vue.js
88,89,ASP.NET CORE
89,90,Node.js
91,92,Svelte
93,94,Angular
94,95,ASP.NET CORE
99,100,Next.js
99,100,Node.js
99,100,Vue.js
101,102,ASP.NET CORE
103,104,ASP.NET CORE
103,104,Node.js
103,104,React
104,105,Angular
104,105,Next.js
104,105,React
106,107,Svelte
106,107,Vue.js
108,109,ASP.NET CORE
110,111,ASP.NET CORE
110,111,Express
110,111,Node.js
112,113,Node.js
112,113,Vue.js
113,114,Django
117,118,Next.js
117,118,Node.js
118,119,ASP.NET CORE
119,120,Next.js
120,121,Express
120,121,Node.js
120,121,Vue.js
121,122,ASP.NET CORE
121,122,Next.js
121,122,Node.js
121,122,React
124,125,Next.js
124,125,Node.js
124,125,React
124,125,Svelte
124,125,Vue.js
125,126,Angular
126,127,Django
126,127,React
128,129,ASP.NET CORE
128,129,Next.js
128,129,Svelte
129,130,ASP.NET CORE
131,132,Next.js
131,132,Node.js
131,132,React
132,133,Vue.js
133,134,ASP.NET CORE
133,134,React
135,136,Next.js
135,136,Node.js
135,136,React
136,137,Express
136,137,Next.js
136,137,Node.js
136,137,React
137,138,Node.js
137,138,Svelte
138,139,Node.js
138,139,Svelte
139,140,Express
139,140,Next.js
139,140,Node.js
139,140,React
139,140,Svelte
140,141,Django
140,141,Express
140,141,Next.js
141,142,Angular
143,144,Express
143,144,Node.js
143,144,React
143,144,Svelte
144,145,ASP.NET CORE
147,148,Vue.js
148,149,ASP.NET CORE
148,149,Node.js
