,ResponseId,Age,Age_numeric
0,1,15-18 years old,16.5
1,2,35-44 years old,39.5
2,3,45-54 years old,49.5
3,4,18-24 years old,21.0
4,5,18-24 years old,21.0
5,6,15-18 years old,16.5
6,7,35-44 years old,39.5
7,8,18-24 years old,21.0
8,9,45-54 years old,49.5
9,10,35-44 years old,39.5
10,11,35-44 years old,39.5
11,12,45-54 years old,49.5
12,13,35-44 years old,39.5
13,14,35-44 years old,39.5
14,15,25-34 years old,29.5
15,16,45-54 years old,49.5
16,17,15-18 years old,16.5
17,18,18-24 years old,21.0
18,19,25-34 years old,29.5
19,20,35-44 years old,39.5
20,21,25-34 years old,29.5
21,22,35-44 years old,39.5
22,23,45-54 years old,49.5
23,24,55-64 years old,59.5
24,25,35-44 years old,39.5
25,26,45-54 years old,49.5
26,27,35-44 years old,39.5
27,28,25-34 years old,29.5
28,29,25-34 years old,29.5
29,30,25-34 years old,29.5
31,32,25-34 years old,29.5
32,33,25-34 years old,29.5
33,34,35-44 years old,39.5
34,35,15-18 years old,16.5
35,36,25-34 years old,29.5
36,37,18-24 years old,21.0
37,38,25-34 years old,29.5
38,39,35-44 years old,39.5
39,40,15-18 years old,16.5
40,41,25-34 years old,29.5
41,42,35-44 years old,39.5
42,43,35-44 years old,39.5
43,44,35-44 years old,39.5
44,45,25-34 years old,29.5
45,46,25-34 years old,29.5
46,47,35-44 years old,39.5
47,48,45-54 years old,49.5
48,49,65-80 years old,72.5
49,50,25-34 years old,29.5
50,51,18-24 years old,21.0
51,52,18-24 years old,21.0
52,53,18-24 years old,21.0
53,54,25-34 years old,29.5
54,55,25-34 years old,29.5
55,56,55-64 years old,59.5
56,57,15-18 years old,16.5
57,58,25-34 years old,29.5
58,59,18-24 years old,21.0
59,60,25-34 years old,29.5
60,61,18-24 years old,21.0
61,62,55-64 years old,59.5
62,63,18-24 years old,21.0
63,64,25-34 years old,29.5
64,65,45-54 years old,49.5
65,66,18-24 years old,21.0
66,67,18-24 years old,21.0
67,68,35-44 years old,39.5
68,69,35-44 years old,39.5
69,70,25-34 years old,29.5
70,71,35-44 years old,39.5
71,72,45-54 years old,49.5
72,73,18-24 years old,21.0
73,74,35-44 years old,39.5
74,75,55-64 years old,59.5
75,76,25-34 years old,29.5
76,77,45-54 years old,49.5
77,78,18-24 years old,21.0
78,79,45-54 years old,49.5
79,80,45-54 years old,49.5
80,81,35-44 years old,39.5
81,82,25-34 years old,29.5
82,83,35-44 years old,39.5
83,84,25-34 years old,29.5
84,85,25-34 years old,29.5
85,86,18-24 years old,21.0
86,87,45-54 years old,49.5
87,88,25-34 years old,29.5
88,89,35-44 years old,39.5
89,90,25-34 years old,29.5
90,91,18-24 years old,21.0
91,92,15-18 years old,16.5
92,93,55-64 years old,59.5
93,94,25-34 years old,29.5
94,95,15-18 years old,16.5
95,96,25-34 years old,29.5
96,97,25-34 years old,29.5
97,98,55-64 years old,59.5
98,99,18-24 years old,21.0
99,100,15-18 years old,16.5
100,101,25-34 years old,29.5
101,102,25-34 years old,29.5
102,103,25-34 years old,29.5
103,104,35-44 years old,39.5
104,105,45-54 years old,49.5
105,106,25-34 years old,29.5
106,107,15-18 years old,16.5
107,108,25-34 years old,29.5
108,109,45-54 years old,49.5
109,110,18-24 years old,21.0
110,111,18-24 years old,21.0
111,112,18-24 years old,21.0
112,113,45-54 years old,49.5
113,114,45-54 years old,49.5
114,115,25-34 years old,29.5
115,116,35-44 years old,39.5
116,117,35-44 years old,39.5
117,118,18-24 years old,21.0
118,119,25-34 years old,29.5
119,120,35-44 years old,39.5
120,121,25-34 years old,29.5
121,122,45-54 years old,49.5
122,123,15-18 years old,16.5
123,124,25-34 years old,29.5
124,125,35-44 years old,39.5
